smiles,IC50,mol_weight,bioactivity_class
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,41.0,383.814,1
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,300.0,383.814,1
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,7820.0,383.814,0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,170.0,482.9030000000001,1
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,40.0,482.9030000000001,1
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,440.0,482.9030000000001,1
CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,9300.0,369.43200000000013,0
CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,500000.0,283.287,0
O=C(O)/C=C/c1ccc(O)cc1,3000000.0,164.16,0
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],96000.0,215.16799999999998,0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5310.0,539.9990000000001,0
COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,264000.0,249.22199999999998,0
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,125.0,236.234,1
COc1cc(C=C(C#N)C#N)cc(OC)c1,1250000.0,214.224,0
N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,625000.0,239.2779999999999,0
N#CC(C#N)=Cc1ccc(O)c(O)c1,35000.0,186.17,0
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,900000.0,197.18999999999997,0
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,0.45,542.0150000000001,1
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,10000.0,204.18499999999997,0
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,60000.0,281.231,0
COc1ccc(NN=C(C#N)C#N)cc1,600000.0,200.20100000000002,0
COc1cc(C=C(C#N)C#N)cc(OC)c1O,850000.0,230.22299999999998,0
N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,3000.0,202.16899999999998,0
C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,8000.0,292.34600000000006,0
N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,1300000.0,218.16799999999998,0
N#C/C(=C/c1ccc[nH]1)C(=O)O,1360000.0,162.14799999999997,0
N#C/C(=C\c1ccc(O)cc1)C(=O)O,165000.0,189.17,0
N#CC(C#N)=Cc1ccncc1,250000.0,155.15999999999997,0
N#CC(C#N)=Cc1ccc(F)cc1,1250000.0,172.16199999999998,0
N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,125000.0,215.16799999999998,0
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,14.0,326.791,1
CC(=C(C#N)C#N)c1ccc(N)cc1,1250000.0,183.214,0
N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,625000.0,227.223,0
Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,1000.0,250.30500000000004,0
C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,100.0,312.76400000000007,1
CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,13350.0,306.373,0
N#CC(C#N)=CNc1ccc(O)cc1,350000.0,185.186,0
O=CN/C=C/c1cc(O)ccc1O,14000.0,179.17499999999998,0
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,238.0,434.30100000000016,1
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,64.0,456.34800000000035,1
N#CC(C#N)=C1C(=O)NC(=O)NC1=O,1400000.0,190.118,0
N#CC(C#N)=Cc1ccc(C(=O)O)cc1,430000.0,198.18099999999998,0
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,22.0,511.9450000000004,1
N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,13500.0,218.16799999999998,0
COc1ccc(C=C(C#N)C#N)cc1O,250000.0,200.19699999999997,0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,4.5,559.6300000000002,1
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,100.0,559.6300000000002,1
Nc1ccc2ncnc(NCc3ccccc3)c2c1,508.0,250.30500000000004,1
N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,450000.0,215.16799999999995,0
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,200.0,526.0160000000002,1
Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,210.0,495.94600000000037,1
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,1410.0,470.53300000000024,0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,5000.0,470.53300000000024,0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,4320.0,470.53300000000024,0
N#C/C(=C\c1ccc(F)cc1)C(=O)O,833000.0,191.161,0
N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,47000.0,201.18099999999998,0
